rank,artists,song,streams,publish_date,album_name,song_popularity,followers,genres,artist_popularity,acousticness,energy,liveness,valence,danceability,speechiness,loudness,instrumentalness,tempo,year
15,The Neighbourhood,Sweater Weather,2.683,28 March 2012,I Love You.,93,15362337,"['modern alternative rock', 'modern rock', 'pop']",83,0.0495,0.807,0.101,0.398,0.612,0.0336,-2.81,0.0177,124.053,2012
17,James Arthur,Say You Won't Let Go,2.657,9 September 2016,Back from the Edge,90,15626465,"['pop', 'talent show', 'uk pop']",82,0.695,0.557,0.0902,0.494,0.358,0.059,-7.398,0.0,85.043,2016
18,Shawn Mendes and Camila Cabello,Señorita,2.647,21 June 2019,Shawn Mendes (Deluxe),82,42089476,"['canadian pop', 'pop', 'viral pop']",82,0.0392,0.548,0.0828,0.749,0.759,0.029,-6.049,0.0,116.967,2019
19,Harry Styles,Watermelon Sugar,2.551,13 December 2019,Fine Line,89,31170730,['pop'],84,0.122,0.816,0.335,0.557,0.548,0.0465,-4.209,0.0,95.39,2019
20,Dua Lipa,Don't Start Now,2.500,1 November 2019,Future Nostalgia,85,42411264,"['dance pop', 'pop', 'uk pop']",87,0.0123,0.793,0.0951,0.679,0.793,0.083,-4.521,0.0,123.95,2019
21,Juice WRLD,Lucid Dreams,2.458,4 May 2018,Goodbye & Good Riddance,87,32479189,"['chicago rap', 'melodic rap', 'rap']",87,0.349,0.566,0.34,0.218,0.511,0.2,-7.23,0.0,83.903,2018
23,Drake,God's Plan,2.438,19 January 2018,Scorpion,88,84097254,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",96,0.0332,0.449,0.552,0.357,0.754,0.109,-9.211,8.29e-05,77.169,2018
24,The Chainsmokers and Coldplay,Something Just Like This,2.432,22 February 2017,Memories...Do Not Open,89,19831026,['pop'],79,0.0498,0.635,0.164,0.446,0.617,0.0317,-6.769,1.44e-05,103.019,2017
25,Ed Sheeran,Photograph,2.429,20 June 2014,x (Deluxe Edition),87,112815050,"['pop', 'singer-songwriter pop', 'uk pop']",87,0.607,0.379,0.0986,0.201,0.614,0.0476,-10.48,0.000464,107.989,2014
29,Post Malone,Circles,2.360,30 August 2019,Hollywood's Bleeding,89,42872222,"['dfw rap', 'melodic rap', 'pop', 'rap']",87,0.192,0.762,0.0863,0.553,0.695,0.0395,-3.497,0.00244,120.042,2019
30,Vance Joy,Riptide,2.348,21 May 2013,Dream Your Life Away,90,2990586,"['folk-pop', 'modern rock']",76,0.431,0.731,0.151,0.51,0.484,0.0379,-6.694,0.0,101.654,2013
